电台名称,播放地址,地址来源
CNR 中华之声 (Opt-1),https://ngcdn005.cnr.cn/live/zhzs/index.m3u8,cnr.cn
CNR 中国之声 (Opt-2),https://ngcdn001.cnr.cn/live/zgzs/index.m3u8,cnr.cn
CNR 中国乡村之声 (Opt-3),https://ngcdn017.cnr.cn/live/xczs/index.m3u8,cnr.cn
CNR 中国交通广播 (Opt-1),https://ngcdn016.cnr.cn/live/gsgljtgb/index.m3u8,cnr.cn
CNR 华夏之声 (Opt-2),https://ngcdn007.cnr.cn/live/hxzs/index.m3u8,cnr.cn
CNR 哈语广播 (Opt-1),https://ngcdn025.cnr.cn/live/hygb/index.m3u8,cnr.cn
CNR 娱乐广播 (Opt-1),https://ngcdn014.cnr.cn/live/ylgb/index.m3u8,cnr.cn
CNR 文艺之声 (Opt-2),https://ngcdn010.cnr.cn/live/wyzs/index.m3u8,cnr.cn
CNR 神州之声 (Opt-1),https://ngcdn006.cnr.cn/live/szzs/index.m3u8,cnr.cn
CNR 经典音乐广播 101.8 (Opt-3),https://ngcdn004.cnr.cn/live/dszs/index.m3u8,cnr.cn
CNR 经济之声 (Opt-2),https://ngcdn002.cnr.cn/live/jjzs/index.m3u8,cnr.cn
CNR 维语广播 (Opt-2),https://ngcdn013.cnr.cn/live/wygb/index.m3u8,cnr.cn
CNR 老年之声 (Opt-3),https://ngcdn011.cnr.cn/live/lnzs/index.m3u8,cnr.cn
CNR 藏语广播 (Opt-1),https://ngcdn012.cnr.cn/live/zygb/index.m3u8,cnr.cn
CNR 音乐之声 (Opt-2),https://ngcdn003.cnr.cn/live/yyzs/index.m3u8,cnr.cn
CNR 香港之声 (Opt-3),https://ngcdn008.cnr.cn/live/xgzs/index.m3u8,cnr.cn
CRI Easy FM – FM91.5,https://sk.cri.cn/915.m3u8,cri.cn
CRI Hit FM FM88.7 (Opt-1),https://sk.cri.cn/887.m3u8,cri.cn
CRI NEWS Plus AM1008 (Opt-2),https://sk.cri.cn/am1008.m3u8,cri.cn
CRI NEWS Plus AM846,https://sk.cri.cn/am846.m3u8,cri.cn
CRI 中文环球广播 (Opt-2),https://sk.cri.cn/hyhq.m3u8,cri.cn
CRI 南海之声 (Opt-2),https://sk.cri.cn/nhzs.m3u8,cri.cn
CRI 环球资讯广播 FM90.5 (Opt-2),https://sk.cri.cn/905.m3u8,cri.cn
北京新闻广播 FM100.6,https://ls.qingting.fm/live/339.m3u8,qingting.fm
北京音乐广播 FM97.4,https://live.xmcdn.com/live/95/64.m3u8,xmcdn.com
北京音乐广播 FM97.4,https://ls.qingting.fm/live/332.m3u8,qingting.fm
北京交通广播 FM103.9,https://live.xmcdn.com/live/93/64.m3u8,xmcdn.com
